Pbr000434.1 	PbrLBD23
Pbr001899.1 	PbrLBD47
Pbr002946.1 	PbrLBD27
Pbr002958.1 	PbrLBD28
Pbr005369.1 	PbrLBD31
Pbr007737.1 	PbrLBD44
Pbr007875.1 	PbrLBD53
Pbr009020.1 	PbrLBD38
Pbr009021.1 	PbrLBD39
Pbr009022.1 	PbrLBD40
Pbr009406.1 	PbrLBD4
Pbr009548.1 	PbrLBD5
Pbr009563.1 	PbrLBD6
Pbr010928.1 	PbrLBD25
Pbr010943.1 	PbrLBD26
Pbr011119.1 	PbrLBD37
Pbr011414.1 	PbrLBD58
Pbr011503.1 	PbrLBD24
Pbr011563.1 	PbrLBD41
Pbr011583.1 	PbrLBD42
Pbr012580.1 	PbrLBD59
Pbr012959.1 	PbrLBD56
Pbr013062.1 	PbrLBD14
Pbr013074.1 	PbrLBD13
Pbr013296.1 	PbrLBD12
Pbr014581.1 	PbrLBD21
Pbr015611.1 	PbrLBD52
Pbr015613.1 	PbrLBD51
Pbr016186.1 	PbrLBD36
Pbr016876.1 	PbrLBD45
Pbr019737.1 	PbrLBD50
Pbr019850.1 	PbrLBD49
Pbr021092.1 	PbrLBD48
Pbr021389.1 	PbrLBD35
Pbr021980.1 	PbrLBD30
Pbr022066.1 	PbrLBD2
Pbr022067.1 	PbrLBD3
Pbr023346.1 	PbrLBD9
Pbr023348.1 	PbrLBD8
Pbr023528.1 	PbrLBD54
Pbr023936.1 	PbrLBD1
Pbr025102.1 	PbrLBD10
Pbr025333.1 	PbrLBD19
Pbr025334.1 	PbrLBD18
Pbr025336.1 	PbrLBD17
Pbr025755.1 	PbrLBD16
Pbr026275.1 	PbrLBD34
Pbr026842.1 	PbrLBD55
Pbr027004.1 	PbrLBD60
Pbr029040.1 	PbrLBD11
Pbr030670.1 	PbrLBD33
Pbr032490.1 	PbrLBD32
Pbr032759.1 	PbrLBD7
Pbr033910.1 	PbrLBD15
Pbr036049.1 	PbrLBD57
Pbr036117.1 	PbrLBD46
Pbr040002.1 	PbrLBD29
Pbr040949.1 	PbrLBD43
Pbr041079.1 	PbrLBD20
Pbr042141.1 	PbrLBD22
